targetId,comparatorId,outcomeId,outcomeName,type
1357,1358,4170145,Absence of lung,outcome
1357,1358,4093531,Absence of toe,outcome
1357,1358,4092879,Absent kidney,outcome
1357,1358,42539582,Acquired absence of genital organ,outcome
1357,1358,434170,Atypical squamous cells of undetermined significance on cervical Papanicolaou smear,outcome
1357,1358,4067069,Callosity,outcome
1357,1358,4213540,Cervical somatic dysfunction,outcome
1357,1358,443570,Cervicovaginal cytology: Low grade squamous intraepithelial lesion,outcome
1357,1358,201613,Chronic nonalcoholic liver disease,outcome
1357,1358,43021250,Complication associated with orthopedic device,outcome
1357,1358,46269889,Complication due to Crohn's disease,outcome
1357,1358,42537730,Coronary artery graft present,outcome
1357,1358,436233,Delayed milestone,outcome
1357,1358,438021,Disorder due to and following fracture of upper limb,outcome
1357,1358,192367,Dysplasia of cervix,outcome
1357,1358,4062791,"Endocrine, nutritional and metabolic disease complicating pregnancy, childbirth and puerperium",outcome
1357,1358,200775,Endometrial hyperplasia,outcome
1357,1358,374358,Excess skin of eyelid,outcome
1357,1358,4059015,Falls,outcome
1357,1358,4264617,Foot-drop,outcome
1357,1358,4201388,Gastrostomy present,outcome
1357,1358,4166231,Genetic predisposition,outcome
1357,1358,4295287,Hypercoagulability state,outcome
1357,1358,196473,Hypertrophy of uterus,outcome
1357,1358,443447,Iatrogenic hypotension,outcome
1357,1358,4344500,Impingement syndrome of shoulder region,outcome
1357,1358,441417,Incoordination,outcome
1357,1358,4168222,"Intra-abdominal and pelvic swelling, mass and lump",outcome
1357,1358,196168,Irregular periods,outcome
1357,1358,439795,Minimal cognitive impairment,outcome
1357,1358,40480893,Nonspecific tuberculin test reaction,outcome
1357,1358,438130,Opioid abuse,outcome
1357,1358,4022076,Patient dependence on care provider,outcome
1357,1358,4141640,Perimenopausal disorder,outcome
1357,1358,437092,Physiological development failure,outcome
1357,1358,4012231,Poor stream of urine,outcome
1357,1358,46286594,Problem related to lifestyle,outcome
1357,1358,443274,Psychostimulant dependence,outcome
1357,1358,436246,Reduced libido,outcome
1357,1358,43021237,Secondary erectile dysfunction,outcome
1357,1358,4052226,Sequelae of injuries of lower limb,outcome
1357,1358,4125590,Slurred speech,outcome
1357,1358,36713918,Somatic dysfunction of lumbar region,outcome
1357,1358,4002818,Spasm of back muscles,outcome
1357,1358,4201387,Tracheostomy present,outcome
1357,1358,444074,Victim of vehicular AND/OR traffic accident,outcome
1357,1358,195603,Vulval and/or perineal noninflammatory disorders,outcome
1357,1358,4216670,Worried well,outcome
